Time	data
2019-02-01 11:09:04	22.85
2019-02-01 11:09:21	22.8
2019-02-01 11:10:32	22.85
2019-02-01 11:10:46	22.8
2019-02-01 11:13:37	22.85
2019-02-01 11:15:16	22.8
2019-02-01 11:15:59	22.85
2019-02-01 11:16:40	22.8
2019-02-01 11:19:08	22.85
2019-02-01 11:22:49	22.8
2019-02-01 11:22:52	22.85
2019-02-01 11:23:25	22.8
2019-02-01 11:24:20	22.85
2019-02-01 11:24:56	22.8
2019-02-01 11:25:36	22.85
2019-02-01 11:25:36	22.8
2019-02-01 11:29:30	22.85
2019-02-01 11:29:35	22.8
2019-02-01 11:29:37	22.85
2019-02-01 11:31:36	22.8
2019-02-01 11:32:45	22.85
2019-02-01 11:33:07	22.8
2019-02-01 11:35:33	22.85
2019-02-01 11:35:36	22.9
2019-02-01 11:36:13	22.85
2019-02-01 11:36:27	22.9
2019-02-01 11:36:59	22.85
2019-02-01 11:37:07	22.9
2019-02-01 11:37:07	22.85
2019-02-01 11:37:07	22.9
2019-02-01 11:37:15	22.85
2019-02-01 11:37:15	22.9
2019-02-01 11:37:18	22.85
2019-02-01 11:40:22	22.75
2019-02-01 11:51:27	22.8
2019-02-01 11:51:47	22.75
2019-02-01 11:53:30	22.7
2019-02-01 11:55:03	22.75
2019-02-01 11:55:25	22.8
2019-02-01 11:58:26	22.75
2019-02-01 11:59:47	22.7
2019-02-01 12:00:17	22.8
2019-02-01 12:01:03	22.75
2019-02-01 12:01:32	22.7
2019-02-01 12:02:16	22.75
2019-02-01 12:03:53	22.7
2019-02-01 12:06:06	22.75
2019-02-01 12:08:38	22.8
2019-02-01 12:09:13	22.75
2019-02-01 12:09:21	22.7
2019-02-01 12:10:25	22.75
2019-02-01 12:11:12	22.7
2019-02-01 12:11:21	22.75
2019-02-01 12:11:21	22.7
2019-02-01 12:11:23	22.75
2019-02-01 12:11:23	22.7
2019-02-01 12:16:30	22.75
2019-02-01 12:17:06	22.7
2019-02-01 12:19:57	22.75
2019-02-01 12:21:45	22.7
2019-02-01 12:21:46	22.75
2019-02-01 12:21:57	22.7
2019-02-01 12:22:23	22.75
2019-02-01 12:22:33	22.8
2019-02-01 12:23:28	22.7
2019-02-01 12:26:26	22.75
2019-02-01 12:27:08	22.65
2019-02-01 12:28:15	22.7
2019-02-01 12:28:58	22.65
2019-02-01 12:29:45	22.7
2019-02-01 12:30:32	22.75
2019-02-01 12:32:37	22.7
2019-02-01 12:32:47	22.65
2019-02-01 12:33:11	22.75
2019-02-01 12:34:49	22.8
2019-02-01 12:34:51	22.75
2019-02-01 12:36:52	22.8
2019-02-01 12:39:01	22.75
2019-02-01 12:39:03	22.8
2019-02-01 12:39:48	22.75
2019-02-01 12:39:52	22.8
2019-02-01 12:42:14	22.75
2019-02-01 12:42:20	22.8
2019-02-01 12:42:37	22.75
2019-02-01 12:42:38	22.8
2019-02-01 12:43:34	22.75
2019-02-01 12:43:42	22.7
2019-02-01 12:43:42	22.75
2019-02-01 12:44:55	22.7
2019-02-01 12:45:12	22.75
2019-02-01 12:45:13	22.7
2019-02-01 12:45:15	22.75
2019-02-01 12:45:23	22.8
2019-02-01 12:47:01	22.75
2019-02-01 12:47:14	22.7
2019-02-01 12:47:31	22.75
2019-02-01 12:47:46	22.8
2019-02-01 12:49:18	22.75
2019-02-01 12:50:56	22.8
2019-02-01 12:54:20	22.75
2019-02-01 12:56:39	22.8
2019-02-01 12:56:46	22.75
2019-02-01 12:57:05	22.8
2019-02-01 12:58:32	22.85
2019-02-01 13:00:08	22.8
2019-02-01 13:00:09	22.85
2019-02-01 13:00:18	22.9
2019-02-01 13:01:08	22.85
2019-02-01 13:03:25	22.8
2019-02-01 13:03:55	22.85
2019-02-01 13:03:56	22.9
2019-02-01 13:04:09	22.8
2019-02-01 13:04:09	22.9
2019-02-01 13:04:10	22.8
2019-02-01 13:04:11	22.9
2019-02-01 13:04:15	22.8
2019-02-01 13:04:15	22.9
2019-02-01 13:04:18	22.8
2019-02-01 13:04:19	22.9
2019-02-01 13:05:45	22.85
2019-02-01 13:05:54	22.9
2019-02-01 13:06:28	22.85
2019-02-01 13:06:34	22.9
2019-02-01 13:08:09	22.85
2019-02-01 13:08:14	22.9
2019-02-01 13:08:14	22.85
2019-02-01 13:08:16	22.9
2019-02-01 13:11:38	22.95
2019-02-01 13:11:39	22.9
2019-02-01 13:11:43	22.95
2019-02-01 13:11:57	22.9
2019-02-01 13:14:18	22.85
2019-02-01 13:16:26	22.8
2019-02-01 13:18:01	22.75
2019-02-01 13:18:11	22.8
2019-02-01 13:18:20	22.75
2019-02-01 13:18:26	22.8
2019-02-01 13:18:32	22.75
2019-02-01 13:18:42	22.8
2019-02-01 13:18:56	22.75
